Project Section,Task,Crew,Start Date,Duration,End Date,Day Completed,Completion PCT,
Roaster,Install Loring ,All,2/16/24,6,2/23/24,6,100.00%,
Green Bean System,GB system - fabricate bins week 1,All,3/18/24,5,3/22/24,5,100.00%,
Green Bean System,GB system - fabricate bins week 2,All,4/1/24,5,4/5/24,0,0.00%,
Green Bean System,GB system - fabricate bins week 3,All,4/8/24,5,4/12/24,0,0.00%,
Green Bean System,GB system - fabricate bins week 4,All,4/15/24,5,4/19/24,0,0.00%,
Green Bean System,GB system - fabricate bins week 5,All,4/22/24,5,4/26/24,0,0.00%,
Roaster,Electric install for Loring,All,3/4/24,5,3/14/24,0,0.00%,
Green Bean System,GB System - Locate Frame,All,3/11/24,5,3/15/24,5,100.00%,
Green Bean System,Ship Chainvey,All,4/6/24,3,4/9/24,3,100.00%,
Post Roast,Install Air Compressor,All,4/22/24,1,4/23/24,0,0.00%,
Green Bean System,GB system - Recieve Chainvey,All,4/18/24,1,4/19/24,0,0.00%,
Post Roast,Ship Mixer,All,4/15/24,1,4/16/24,0,0.00%,
Roaster,Cut roof penetrations for Loring / SF,All,4/22/24,5,4/26/24,0,0.00%,need to order additional piping 
Post Roast,Ship MPE grinder,All,4/15/24,1,4/16/24,0,0.00%,
Post Roast,Ship Weigh Right,All,4/15/24,1,4/16/24,0,0.00%,
Roaster,Ship Loring Outlet,All,4/15/24,1,4/16/24,0,0.00%,
Post Roast,Install Mixer with Pneucon,All,4/17/24,1,4/18/24,0,0.00%,
Roaster,Install Loring Outlet,All,4/24/24,1,4/25/24,0,0.00%,
Post Roast,Install General Pack + Pneucon,All,4/17/24,2,4/18/24,0,0.00%,
Post Roast,Install MPE Grinder + Pneucon,All,4/18/24,2,4/19/24,0,0.00%,
Post Roast,Install Weigh Right + Pneucon,All,4/18/24,2,4/19/24,0,0.00%,
Roaster,Install Plumbing for Loring,Sub,4/22/24,5,4/26/24,0,0.00%,
Roaster, Install Torch Booster + Tie in Gas for Loring,Sub,5/20/24,1,5/24/24,0,0.00%,
Green Bean System,GB System - Run Electric and Compressed Air ,All,4/25/24,1,4/26/24,0.5,50.00%,
Green Bean System,GB System - Tie in Compressed Air and connections,sub,4/25/24,1,4/26/24,0,0.00%,
Buildout,Dan Bajo Buildout -  Framing,Sub,4/22/24,5,4/26/24,0,0.00%,
Buildout,Dan Bajo Buildout -  Framing,Sub,4/29/24,5,5/3/24,0,0.00%,
Green Bean System,Gb system - Wire Chainvey,All,4/22/24,5,4/29/24,0,0.00%,
Green Bean System,Jacob Tubing,All,4/22/24,2,4/29/24,0,0.00%,
Roaster,Start up Loring,All,5/20/24,5,5/24/24,0,0.00%,
Buildout,Dan Bajo Buildout - Plumbing week 1,Sub,4/29/24,5,5/3/24,0,0.00%,
Buildout,Dan Bajo Buildout - Plumbing week 2,Sub,5/6/24,5,5/10/24,0,0.00%,
Buildout,Dan Bajo Buildout - Sheetrock week 1,Sub,4/29/24,5,5/3/24,0,0.00%,
Buildout,Dan Bajo Buildout - Sheetrock week 2,Sub,5/6/24,5,5/10/24,0,0.00%,
Roaster,Relocate SF roaster,All,5/27/24,5,5/31/24,0,0.00%,
Green Bean System,GB system - load and transport bins,Big Joe,4/29/24,2,4/30/24,0,0.00%,
Green Bean System,GB system - Recieve + Install Bins,All,4/30/24,2,5/1/24,0,0.00%,
Buildout,Dan Bajo Buildout - Electric week 1,Sub,5/6/24,14,5/10/24,0,0.00%,
Buildout,Dan Bajo Buildout - Electric week 2,Sub,5/13/24,14,5/17/24,0,0.00%,
Buildout,Dan Bajo Buildout - HVAC,Sub,5/13/24,10,5/17/24,0,0.00%,
Green Bean System,GB system - Controls,All,5/6/24,2,5/8/24,0,0.00%,
Green Bean System,Install Chainvey,All,4/29/24,5,5/3/24,0,0.00%,
Green Bean System,Start up GB system,All,5/6/24,5,5/10/24,0,0.00%,
